Category,Question / Statement,Correct Answer,Explanation
General Awareness,Nepal is a landlocked country.,TRUE,Nepal is surrounded by India and China and has no direct access to the sea.
General Awareness,The national flower of Nepal is the Rose.,FALSE,The national flower is Rhododendron (Lali Gurans).
General Awareness,Lumbini is the birthplace of Lord Buddha.,TRUE,Lumbini is a UNESCO World Heritage site located in Nepal.
General Awareness,"The ""Sagarmatha Highway"" connects Kathmandu to Pokhara.",FALSE,The highway connecting Kathmandu to Pokhara is the Prithvi Highway.
General Awareness,The cow is the national animal of Nepal.,TRUE,The cow was declared the national animal in the 2015 Constitution.
General Awareness,Nepal is divided into 5 development regions currently.,FALSE,Nepal is now divided into 7 Provinces (Pradesh). The development regions concept is obsolete.
General Awareness,SAARC was founded in 1985 AD.,TRUE,"It was established on Dec 8, 1985."
General Awareness,Mustangi Raja is a title that still holds legal political power in Nepal.,FALSE,"The monarchy, including the Mustang Raja title's political power, was abolished."
General Awareness,The currency of Nepal is pegged to the Indian Rupee.,TRUE,It is pegged at 1 INR = 1.6 NPR.
General Awareness,Mt. Machhapuchhre has been climbed many times.,FALSE,Machhapuchhre is a prohibited peak and has never been officially climbed to the summit.
Public Management,"""Darta"" refers to sending letters out of the office.",FALSE,"""Darta"" is registration of incoming mail. ""Chalani"" is for outgoing."
Public Management,"A ""Citizen Charter"" is mandatory for all government offices in Nepal.",TRUE,It ensures transparency and information for service seekers.
Public Management,Tippani is a final decision made by the Section Officer.,FALSE,Tippani is a proposal/note submitted upwards; the decision is made by higher authority.
Public Management,The fiscal year in Nepal begins on the 1st of Baisakh.,FALSE,It begins on the 1st of Shrawan (mid-July).
Public Management,Public Service Commission (Lok Sewa Aayog) is an independent constitutional body.,TRUE,It operates independently to recruit civil servants.
Public Management,A gazetted officer is higher in rank than a non-gazetted officer.,TRUE,Gazetted officers (Section Officer and above) are higher rank.
Public Management,"""Beruju"" means the audited amount that is clear and correct.",FALSE,Beruju means irregular amount or audit objection (unclear/unsettled amount).
Public Management,Filing is the process of destroying old documents.,FALSE,Filing is the process of preserving and arranging documents for future reference.
Public Management,"Only women are eligible for ""Maternity Leave"" (Prasuti Bida).",TRUE,"However, men get ""Paternity Leave"" (Prasuti Syahar Bida)."
Public Management,Transparency is a key principle of Good Governance.,TRUE,Openness in decision making is essential for governance.
General Aptitude,"If A>B and B>C, then A>C.",TRUE,This is the transitive property of inequality.
General Aptitude,"In the series 2, 4, 8, 16, the next number is 24.",FALSE,The series is doubling (x2). Next number is 32.
General Aptitude,A triangle can have two right angles.,FALSE,The sum of angles is 180°. Two right angles (90+90) would leave 0° for the third.
