Category,Question (Arrange in Order),Option A,Option B,Option C,Option D,Correct Answer,Explanation
General Awareness,Arrange these Presidents of Nepal chronologically: 1. Bidya Devi Bhandari 2. Dr. Ram Baran Yadav 3. Ram Chandra Poudel,2 - 1 - 3,1 - 2 - 3,3 - 2 - 1,2 - 3 - 1,Option A,"1st: Ram Baran Yadav, 2nd: Bidya Devi Bhandari, 3rd: Ram Chandra Poudel."
General Awareness,Arrange these rivers from Longest to Shortest: 1. Karnali 2. Koshi 3. Gandaki,1 - 2 - 3,2 - 1 - 3,1 - 3 - 2,3 - 1 - 2,Option A,Karnali (Longest in Nepal) > Koshi (Biggest by flow) > Gandaki.
General Awareness,Arrange the administrative hierarchy (Small to Large): 1. Ward 2. Province 3. Municipality 4. Country,1 - 3 - 2 - 4,1 - 2 - 3 - 4,4 - 2 - 3 - 1,3 - 1 - 2 - 4,Option A,"Ward is the smallest unit, followed by Municipality (Local Level), then Province, then Country."
Public Management,Arrange the life cycle of an official file decision: 1. Decision (Nirnay) 2. Darta (Registration) 3. Tippani (Note/Proposal) 4. Chalani (Dispatch),2 - 3 - 1 - 4,2 - 1 - 3 - 4,3 - 2 - 1 - 4,1 - 2 - 3 - 4,Option A,First register (Darta) -> Raise Note (Tippani) -> Decision -> Send out (Chalani).
Public Management,Arrange the ranks in Civil Service (Low to High): 1. Section Officer 2. Secretary 3. Under Secretary 4. Joint Secretary,1 - 3 - 4 - 2,1 - 2 - 3 - 4,4 - 3 - 2 - 1,1 - 4 - 3 - 2,Option A,Officer (Sakha Adhikrit) -> Under Sec (Upa-Sachib) -> Joint Sec (Saha-Sachib) -> Secretary (Sachib).
General Aptitude,Arrange logically: 1. Key 2. Door 3. Lock 4. Room,1 - 3 - 2 - 4,4 - 2 - 1 - 3,1 - 2 - 3 - 4,3 - 1 - 2 - 4,Option A,Use Key -> Open Lock -> Open Door -> Enter Room.
General Aptitude,Arrange words in Dictionary order: 1. Eagle 2. Earth 3. Eager 4. Early,3 - 1 - 4 - 2,3 - 1 - 2 - 4,1 - 3 - 4 - 2,4 - 2 - 1 - 3,Option A,Eager -> Eagle -> Early -> Earth.
General Aptitude,Arrange logically: 1. Poverty 2. Population 3. Death 4. Disease,2 - 1 - 4 - 3,1 - 2 - 3 - 4,2 - 4 - 1 - 3,4 - 2 - 1 - 3,Option A,High Population -> Poverty -> Disease -> Death.
Surveying,Steps to set up a Theodolite: 1. Leveling 2. Centering 3. Focusing the eyepiece 4. Setting up tripod,4 - 2 - 1 - 3,1 - 2 - 3 - 4,4 - 1 - 2 - 3,2 - 1 - 4 - 3,Option A,Tripod -> Centering (over station) -> Leveling (bubbles) -> Focusing (to see).
Surveying,Arrange scales from Largest to Smallest: 1. 1:50 2. 1:100 3. 1:1000 4. 1:10,4 - 1 - 2 - 3,1 - 2 - 3 - 4,3 - 2 - 1 - 4,4 - 2 - 1 - 3,Option A,1:10 is huge detail (Large Scale). 1:1000 is small detail (Small Scale). Smaller denominator = Larger Scale.
Construction Materials,Arrange rocks by hardness (Mohs Scale - Soft to Hard): 1. Gypsum 2. Talc 3. Diamond 4. Quartz,2 - 1 - 4 - 3,1 - 2 - 3 - 4,2 - 1 - 3 - 4,4 - 3 - 2 - 1,Option A,Talc (1) -> Gypsum (2) -> Quartz (7) -> Diamond (10).
Construction Materials,Stages of brick manufacturing: 1. Burning 2. Moulding 3. Preparation of clay 4. Drying,3 - 2 - 4 - 1,3 - 2 - 1 - 4,2 - 3 - 4 - 1,1 - 2 - 3 - 4,Option A,Prepare clay -> Mould shape -> Dry (remove water) -> Burn (kiln).
Building Construction,Sequence of building construction: 1. Plinth Level 2. Excavation 3. Foundation Concrete (PCC) 4. Site Clearance,4 - 2 - 3 - 1,2 - 4 - 3 - 1,4 - 3 - 2 - 1,1 - 2 - 3 - 4,Option A,Clear Site -> Dig (Excavate) -> Pour Foundation PCC -> Build up to Plinth.
Building Construction,Order of applying coats in plastering (3-coat system): 1. Floating Coat 2. Rendering Coat 3. Finishing Coat,2 - 1 - 3,1 - 2 - 3,3 - 2 - 1,2 - 3 - 1,Option A,"1st: Rendering (Base), 2nd: Floating (Leveling), 3rd: Finishing (Smooth)."
