Category,Question / Statement,Correct Answer,Explanation
Structural Design,Concrete is a material that is highly elastic.,FALSE,Concrete is a brittle material; Steel is elastic.
Structural Design,"In Limit State Design, the partial safety factor for steel is 1.5.",FALSE,"For steel it is 1.15. For concrete, it is 1.5."
Structural Design,"An ""Over-reinforced"" section is preferred in beam design.",FALSE,"""Under-reinforced"" is preferred because it gives warning (ductile failure) before collapse."
Structural Design,The minimum diameter of a longitudinal bar in a column is 12mm.,TRUE,Using smaller bars in main column reinforcement is not permitted by code (IS 456).
Structural Design,"""Stirrups"" in beams are provided to resist Bending Moment.",FALSE,Stirrups are provided to resist Shear Force.
Structural Design,The tensile strength of concrete is approximately 10-15% of its compressive strength.,TRUE,Concrete is very weak in tension.
Structural Design,"A column with a slenderness ratio greater than 12 is called a ""Long Column"".",TRUE,It is prone to buckling failure.
Structural Design,Deformed bars (Tor steel) provide better bond with concrete than plain bars.,TRUE,The ribs/lugs on the surface increase grip (bond).
Structural Design,The neutral axis is the layer where stress is zero.,TRUE,"Compression is on one side, Tension on the other; NA has zero stress."
Structural Design,Dead Load is the weight of movable furniture and people.,FALSE,That is Live Load. Dead Load is the weight of the structure itself.
Soil Mechanics,"""Void Ratio"" (e) can be greater than 1.",TRUE,"Volume of voids can be larger than volume of solids (e.g., loose clay)."
Soil Mechanics,"""Porosity"" (n) can be greater than 100%.",FALSE,Porosity is Volume of Voids / Total Volume. It can never exceed 100% (or 1.0).
Soil Mechanics,Darcy’s Law assumes the flow of water through soil is Turbulent.,FALSE,It assumes the flow is Laminar.
Soil Mechanics,Gravel is more permeable than Clay.,TRUE,Water passes through gravel easily; Clay acts as a barrier.
Soil Mechanics,"The ""Plasticity Index"" (PI) is Liquid Limit minus Plastic Limit.",TRUE,PI=LL−PL.
Soil Mechanics,"""Compaction"" expels water from the soil pores.",FALSE,"Compaction expels Air. ""Consolidation"" expels Water."
Soil Mechanics,The ultimate bearing capacity is the load at which soil fails.,TRUE,It is the maximum pressure the soil can support.
Soil Mechanics,Black Cotton Soil is excellent for building foundations.,FALSE,It is dangerous due to high swelling and shrinkage characteristics.
Soil Mechanics,"A ""Pycnometer"" is used to determine the Specific Gravity of soil.",TRUE,It is a standard lab test for specific gravity.
Soil Mechanics,Rankine’s theory is used to calculate earth pressure on retaining walls.,TRUE,It calculates Active and Passive earth pressure.
Irrigation Eng.,"""Duty"" is measured in hectares per cumec.",TRUE,It represents the area irrigated by one unit of discharge.
Irrigation Eng.,"""Delta"" denotes the time period of the crop.",FALSE,"Delta (Δ) is the total depth of water applied. Time is ""Base Period""."
