Category,Question (Arrange in Order),Option A,Option B,Option C,Option D,Correct Answer,Explanation
Hydraulics,Arrange the Hydrologic Cycle components: 1. Precipitation 2. Evaporation 3. Runoff 4. Condensation,2 - 4 - 1 - 3,1 - 3 - 2 - 4,2 - 1 - 4 - 3,4 - 2 - 1 - 3,Option A,Evaporation (water rises) -> Condensation (clouds form) -> Precipitation (rain) -> Runoff (flows to river).
Hydraulics,Order of energy loss in a pipe flow (Highest to Lowest generally): 1. Friction Loss 2. Entrance Loss 3. Bend Loss,1 - 2 - 3,3 - 2 - 1,2 - 3 - 1,1 - 3 - 2,Option A,Friction loss (Major loss) is always much larger than Entrance or Bend losses (Minor losses).
Concrete Technology,Correct sequence of concreting operations: 1. Mixing 2. Batching 3. Placing 4. Transporting 5. Curing,2 - 1 - 4 - 3 - 5,1 - 2 - 3 - 4 - 5,2 - 4 - 1 - 3 - 5,1 - 2 - 4 - 3 - 5,Option A,Batching (weighing) -> Mixing -> Transporting -> Placing -> Curing (final step).
Concrete Technology,Arrange concrete grades by strength (Low to High): 1. M25 2. M10 3. M15 4. M20,2 - 3 - 4 - 1,1 - 4 - 3 - 2,2 - 4 - 3 - 1,3 - 2 - 4 - 1,Option A,M10 -> M15 -> M20 -> M25. (Number indicates strength).
Water Supply,Sequence of water flow in a supply scheme: 1. Treatment Plant 2. Intake Structure 3. Distribution System 4. Source (River),4 - 2 - 1 - 3,4 - 1 - 2 - 3,2 - 4 - 1 - 3,1 - 2 - 3 - 4,Option A,Source -> Intake -> Treatment -> Distribution (to city).
Water Supply,Sequence of water treatment process: 1. Filtration 2. Sedimentation 3. Disinfection 4. Screening,4 - 2 - 1 - 3,1 - 2 - 3 - 4,2 - 4 - 1 - 3,4 - 1 - 2 - 3,Option A,Screening (remove floating debris) -> Sedimentation (settle dirt) -> Filtration (remove fine particles) -> Disinfection (kill germs).
Sanitary Engineering,Path of wastewater from house to disposal: 1. Public Sewer 2. House Drain 3. Treatment Plant 4. River/Disposal,2 - 1 - 3 - 4,1 - 2 - 3 - 4,2 - 3 - 1 - 4,4 - 3 - 2 - 1,Option A,House Drain -> Public Sewer -> Treatment Plant -> River.
Sanitary Engineering,Sequence of treatment in a Septic Tank: 1. Settlement of solids 2. Digestion of sludge 3. Inflow of sewage 4. Formation of scum,3 - 1 - 4 - 2,1 - 2 - 3 - 4,3 - 4 - 1 - 2,2 - 1 - 4 - 3,Option A,Inflow -> Solids settle -> Scum forms on top -> Sludge digests at bottom.
Highway Engineering,Order of Highway Surveying: 1. Preliminary Survey 2. Map Study 3. Detailed Survey 4. Reconnaissance,2 - 4 - 1 - 3,4 - 2 - 1 - 3,2 - 1 - 4 - 3,1 - 2 - 3 - 4,Option A,Map Study (Desk work) -> Reconnaissance (Site visit) -> Preliminary Survey -> Detailed Survey.
Highway Engineering,Flexible Pavement layers (Bottom to Top): 1. Base Course 2. Sub-grade 3. Wearing Course (Surface) 4. Sub-base Course,2 - 4 - 1 - 3,4 - 1 - 2 - 3,2 - 1 - 4 - 3,3 - 1 - 4 - 2,Option A,Sub-grade (Soil) -> Sub-base -> Base -> Wearing Course (Top).
Highway Engineering,Arrange road types by importance (Low to High in Nepal): 1. National Highway 2. District Road 3. Feeder Road 4. Village Road,4 - 2 - 3 - 1,1 - 3 - 2 - 4,4 - 3 - 2 - 1,2 - 4 - 3 - 1,Option A,Village Road -> District Road -> Feeder Road -> National Highway.
