Category,Question (Select all that apply),Option A,Option B,Option C,Option D,Correct Options,Explanation
Structural Design,Which of the following are limit states of collapse?,Limit State of Flexure,Limit State of Shear,Limit State of Torsion,Limit State of Deflection,"A, B, C","Deflection is a Limit State of Serviceability, not Collapse."
Structural Design,Reinforcement bars (Rebar) are used in concrete to resist:,Tensile Stresses,Shear Stresses,Compressive Stresses (in columns),Water Pressure,"A, B, C","While concrete resists compression well, steel helps carry heavy loads in columns and is essential for tension and shear."
Structural Design,Types of loads considered in structural design:,Dead Load,Live Load,Wind Load,Upload,"A, B, C",Upload is a computer term.
Structural Design,Which of these are structural elements?,Beam,Column,Slab,Furniture,"A, B, C","Furniture is a live load, not a structural element."
Structural Design,Failure of a reinforced concrete beam can occur due to:,Yielding of Steel,Crushing of Concrete,Shear Failure,Painting,"A, B, C","Painting affects aesthetics, not structural stability."
Soil Mechanics,Which of these are soil classification systems?,Unified Soil Classification System (USCS),IS Classification,AASHTO Classification,Dewey Decimal System,"A, B, C",Dewey Decimal is for libraries.
Soil Mechanics,Factors affecting permeability of soil:,Grain Size,Void Ratio,Viscosity of Fluid,Color of Soil,"A, B, C",Color does not affect how water flows through soil.
Soil Mechanics,Which tests determine the shear strength of soil?,Direct Shear Test,Triaxial Test,Vane Shear Test,Taste Test,"A, B, C",Never taste soil samples in a lab!
Soil Mechanics,Types of rollers used for compaction:,Smooth Wheel Roller,Sheep's Foot Roller,Pneumatic Tyred Roller,Steam Roller,"A, B, C, D",All are valid compaction equipment.
Soil Mechanics,Components of soil include:,Solids,Water,Air,Fire,"A, B, C","Soil is a three-phase system: Solid, Water, Air."
Irrigation Eng.,Which of the following are methods of applying water to crops?,Flooding,Furrow Irrigation,Sprinkler Irrigation,Drip Irrigation,"A, B, C, D",All are standard irrigation methods.
Irrigation Eng.,Benefits of irrigation include:,Insurance against drought,Increasing crop yield,Ground water recharge,Creating deserts,"A, B, C","Irrigation prevents desertification, it doesn't create it."
Irrigation Eng.,Which of these are Cross Drainage Works?,Aqueduct,Syphon Aqueduct,Super Passage,Bridge,"A, B, C","A bridge carries a road, not a canal, though the structural principles are similar. In irrigation terms, A, B, C are specific CD works."
Irrigation Eng.,Types of Canals based on function:,Feeder Canal,Ridge Canal,Navigation Canal,TV Channel,"A, B, C",TV Channel is for entertainment.
Irrigation Eng.,Which of these structures are used for river training?,Guide Banks,Groynes (Spurs),Marginal Bunds,Traffic Lights,"A, B, C",River training controls flow; traffic lights control cars.
Estimating & Costing,Which of these are types of Estimates?,Preliminary Estimate,Detailed Estimate,Plinth Area Estimate,Rough Estimate,"A, B, C, D",All are valid types of estimates at different stages of a project.
Estimating & Costing,What data is required to prepare a Detailed Estimate?,"Drawings (Plan, Section)",Specifications,Rates (DOR/District Rate),Weather Forecast,"A, B, C","Weather affects the schedule, but not the quantities or rates in the estimate document itself."
Estimating & Costing,Deductions in plastering are made for:,Doors,Windows,Ventilators,Small nail holes,"A, B, C","Small holes or openings < 0.5 m2 are typically not deducted (depending on the standard), but doors/windows are major deductions."
Estimating & Costing,Analysis of Rate depends on:,Cost of Material,Cost of Labor,Contractor's Profit,Politics,"A, B, C",Politics is not a technical component of rate analysis.
Estimating & Costing,Which items are measured in Square Meters (m2)?,Plastering,Pointing,White Washing,DPC (Damp Proof Course),"A, B, C, D",All these surface works are measured in area (m2).
Const. Management,Which of these are project management tools?,Bar Chart (Gantt),CPM (Critical Path Method),PERT,Facebook,"A, B, C",Facebook is social media.
Const. Management,Functions of Construction Management include:,Planning,Scheduling,Controlling,Sleeping,"A, B, C",Sleeping is not a management function.
Const. Management,Resources in construction (The 4 M's) include:,Men (Labor),Materials,Machines,Money,"A, B, C, D","These are the standard ""M""s of management."
Const. Management,Which of these are types of construction contracts?,Lump Sum Contract,Item Rate Contract,Cost Plus Contract,Verbal Contract (in large projects),"A, B, C",Verbal contracts are avoided in large professional projects due to lack of legal proof.
Const. Management,Safety measures on a construction site include:,Wearing Helmets,Wearing Safety Shoes,Using Safety Nets,Running blindly,"A, B, C","Running blindly is a hazard, not a measure."
