Category,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
Concrete Technology,The slump test is performed to check the _____ of concrete.,Strength,Workability,Durability,Setting time,Option B,
Concrete Technology,Separation of coarse aggregates from the mortar matrix is known as:,Bleeding,Segregation,Creep,Shrinkage,Option B,
Concrete Technology,The approximate ratio of mix M20 concrete is:,1:03:06,1:02:04,1:1.5:3,1:01:02,Option C,
Concrete Technology,Proper curing of concrete should be continued for a minimum period of:,3 days,7 days,14 days,28 days,Option B,
Concrete Technology,Lower water-cement ratio in concrete results in:,Lower strength,Higher strength,More bleeding,More segregation,Option B,
Concrete Technology,The unit weight of Reinforced Cement Concrete (RCC) is generally taken as:,2200 kg/m続,2400 kg/m続,2500 kg/m続,7850 kg/m続,Option C,
Concrete Technology,Entrained air in concrete increases:,Strength,Workability,Density,Permeability,Option B,
Concrete Technology,Compaction of concrete is done to:,Add water,Remove air bubbles,Increase setting time,Decrease density,Option B,
Concrete Technology,The characteristic strength of concrete is measured at:,7 days,14 days,21 days,28 days,Option D,
Concrete Technology,Non-destructive testing of concrete strength is done by:,Slump Cone,Rebound Hammer,Vicat Apparatus,Sieve Analysis,Option B,
Water Supply,The pH value of potable water should be between:,3 to 5,5 to 7,6.5 to 8.5,8 to 10,Option C,
Water Supply,The standard unit of turbidity is:,PPM,mg/l,NTU,pH,Option C,
Water Supply,Disinfection of drinking water is commonly done using:,Alum,Lime,Chlorine,Potash,Option C,
Water Supply,A valve used to allow water flow in only one direction is called:,Sluice valve,Air valve,Reflux / Check valve,Scour valve,Option C,
Water Supply,The pipe extending from the ferrule to the stop cock in a house connection is called:,Service pipe,Communication pipe,Distribution pipe,Supply pipe,Option B,
Water Supply,Scour valves (Washout valves) are provided at:,High points,Low points,Junctions,Ends,Option B,
Water Supply,Temporary hardness of water is caused by:,Chlorides,Sulphates,Carbonates & Bicarbonates,Nitrates,Option C,
Water Supply,The commonly used material for underground water mains is:,PVC,GI,Cast Iron (CI),Steel,Option C,
Water Supply,Per capita water demand for an average urban area is roughly:,45 lpcd,85 lpcd,135 lpcd,200 lpcd,Option C,
Water Supply,Air relief valves are provided at the _____ of the pipeline.,Summit (Peak),Valley (Bottom),Bend,Tail end,Option A,
