Category,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
Structural Design,The minimum percentage of longitudinal reinforcement in a column is:,0.60%,0.80%,1.00%,0.40%,Option B,"According to IS 456, minimum steel is 0.8% to prevent buckling and maximum is 6%."
Structural Design,"In a singly reinforced beam, if the actual depth of neutral axis is less than the critical depth, the section is:",Balanced,Over-reinforced,Under-reinforced,Critical,Option C,"Under-reinforced sections fail in tension (steel yields first), which gives ample warning before collapse."
Structural Design,The characteristic strength of steel (Fe 415) is:,250 N/mm²,415 N/mm²,500 N/mm²,550 N/mm²,Option B,"The number following 'Fe' (e.g., 415) denotes the yield strength in N/mm²."
Structural Design,Shear reinforcement in beams is provided in the form of:,Longitudinal bars,Stirrups,Hanger bars,Anchor bars,Option B,Stirrups (vertical or inclined) resist shear forces and prevent diagonal cracks.
Structural Design,The minimum cover for a column is typically:,20 mm,25 mm,40 mm,50 mm,Option C,"40 mm (or diameter of bar, whichever is greater) is standard for columns to protect steel from corrosion and fire."
Structural Design,A column is defined as a 'short column' if the slenderness ratio is less than:,12,18,24,30,Option A,"If effective length / least lateral dimension < 12, it is a short column; otherwise, it is long."
Structural Design,The factor of safety for concrete in Limit State Method is:,1.15,1.5,2,3,Option B,"Partial safety factor for concrete is 1.5; for steel, it is 1.15."
Structural Design,Bond stress is the stress between:,Steel and Concrete,Concrete and Aggregate,Steel and Steel,Cement and Water,Option A,It is the grip between steel and concrete that prevents slipping.
Structural Design,The maximum deflection allowed in a beam is usually limited to:,Span/250,Span/350,Span/500,Span/1000,Option A,Generally Span/250 for final deflection including creep and shrinkage (IS 456).
Structural Design,Hooks are provided in reinforcement bars to:,Increase length,Prevent slipping (Anchorage),Increase weight,Make it look good,Option B,Hooks provide anchorage length to prevent the bar from pulling out under tension.
Soil Mechanics,Void ratio (e) is defined as the ratio of:,Vol. of voids / Vol. of solids,Vol. of voids / Total Vol.,Vol. of water / Vol. of solids,Vol. of air / Vol. of voids,Option A,e = Vv / Vs. (Porosity is Vv / V).
Soil Mechanics,"If the void ratio (e) is 1.0, then the porosity (n) is:",0.4,0.5,0.6,1,Option B,"Formula: n = e / (1+e). So, n = 1 / (1+1) = 0.5 or 50%."
Soil Mechanics,Darcy's Law is valid for:,Laminar flow,Turbulent flow,Both,None,Option A,Darcy's law (v = ki) applies only when flow through soil voids is laminar.
Soil Mechanics,The liquid limit minus plastic limit (LL - PL) is known as:,Shrinkage Index,Plasticity Index (PI),Consistency Index,Liquidity Index,Option B,PI indicates the range of water content over which soil remains plastic.
Soil Mechanics,Standard Penetration Test (SPT) is used to determine:,Soil moisture,Bearing capacity & density,Specific gravity,Permeability,Option B,SPT N-value correlates to relative density and bearing capacity of soil.
Soil Mechanics,Black Cotton Soil is unsuitable for foundation because of:,High strength,Low compressibility,High swelling and shrinkage,High permeability,Option C,It contains Montmorillonite clay mineral which swells when wet and shrinks when dry.
Soil Mechanics,The ultimate bearing capacity is the:,Safe load,Max load before failure,Load with safety factor,Working load,Option B,It is the gross pressure at the base of the foundation at which soil fails in shear.
Soil Mechanics,Compaction of soil is measured in terms of:,Dry Density,Wet Density,Porosity,Permeability,Option A,The aim of compaction is to achieve Maximum Dry Density (MDD) at Optimum Moisture Content (OMC).
Soil Mechanics,Sheep's foot rollers are best suited for compacting:,Sand,Gravel,Clay/Cohesive soil,Rock,Option C,The kneading action of sheep's foot rollers is effective for breaking bonds in clay.
Soil Mechanics,Geotextiles are used in road construction for:,Decoration,Separation & Filtration,Increasing weight,Reducing cost only,Option B,They separate subgrade from aggregate and allow water drainage (filtration).
Irrigation Eng.,"The relation between Duty (D), Delta (Δ), and Base period (B) is:",Δ=8.64B/D,D=8.64Δ/B,Δ=8.64D/B,B=8.64D/Δ,Option A,"Δ is in meters, D in hectares/cumec, B in days."
Irrigation Eng.,The total depth of water required by a crop during its entire period is called:,Duty,Delta,Base Period,Crop Period,Option B,Delta is the total depth of water (in cm or m) supplied.
Irrigation Eng.,A canal aligned along the ridge line (watershed) is called:,Contour canal,Side slope canal,Watershed canal,Field channel,Option C,A watershed canal can irrigate areas on both sides of the canal.
Irrigation Eng.,The ratio of water stored in the root zone to water delivered to the field is:,Water conveyance efficiency,Water application efficiency,Water use efficiency,Water storage efficiency,Option B,It measures how efficiently water is applied to the field without runoff/deep percolation losses.
Irrigation Eng.,Which method of irrigation is best for water scarcity areas?,Flooding,Furrow,Sprinkler,Drip Irrigation,Option D,Drip irrigation has the highest efficiency (90%+) as it applies water directly to roots.
Irrigation Eng.,A structure used to pass a canal over a natural drainage is called:,Super passage,Aqueduct,Syphon,Level crossing,Option B,"In an Aqueduct, the canal is above the drainage and the drainage flows under gravity."
Irrigation Eng.,Khosla's theory is used for the design of:,Weirs on permeable foundation,Dams on rock foundation,Canals,Retaining walls,Option A,It deals with uplift pressure and exit gradient for hydraulic structures on pervious soil.
Irrigation Eng.,The device used to control the flow of water from a canal to a field channel is:,Escape,Cross regulator,Module / Outlet,Fall,Option C,An outlet (or module) releases water to the watercourse for farmers.
Irrigation Eng.,First watering given to a crop when the crop is a few centimeters high is called:,Paleo,Kor watering,Leaching,Pre-sowing,Option B,Kor watering is the maximum single water requirement during the crop period.
Irrigation Eng.,Spillway is a safety valve for a:,Canal,Dam,Aqueduct,Sluice,Option B,A spillway releases excess flood water from a reservoir to prevent dam overtopping.
Const. Management,PERT stands for:,Program Evaluation and Review Technique,Project Estimation and Review Technique,Program Estimation and Reporting Technique,Project Evaluation and Reporting Technique,Option A,PERT is used for R&D or new projects where time estimates are uncertain.
Const. Management,"In CPM (Critical Path Method), the critical path is the:",Shortest path,Longest path in time,Average path,Path with zero cost,Option B,The longest path determines the minimum time required to complete the project.
