Category,Question (Select all that apply),Option A,Option B,Option C,Option D,Correct Options,Explanation
General Awareness,Which of the following are World Heritage Sites located in Nepal?,Lumbini,Chitwan National Park,Pokhara Lake Side,Swayambhunath,"A, B, D","Pokhara is a major tourist hub but not yet a UNESCO World Heritage Site (though listed tentatively). Lumbini, Chitwan, and Swayambhu are."
General Awareness,Which of these are major tributaries of the Koshi River (Sapta Koshi)?,Sun Koshi,Arun,Karnali,Tamor,"A, B, D","The Koshi system includes Sun Koshi, Arun, and Tamor. Karnali is a separate major river system."
General Awareness,Select the SAARC member countries from the following list.,Nepal,Maldives,Myanmar,Afghanistan,"A, B, D","Myanmar is a member of ASEAN, not SAARC. Afghanistan joined SAARC later."
General Awareness,Which of the following are protected animals in Nepal?,One-horned Rhinoceros,Snow Leopard,Common Crow,Red Panda,"A, B, D","The Crow is not a protected species. Rhino, Snow Leopard, and Red Panda are strictly protected."
General Awareness,Which of these districts are located in the Terai region?,Jhapa,Morang,Mustang,Parsa,"A, B, D","Mustang is a mountain/Himalayan district. Jhapa, Morang, and Parsa are in the plains (Terai)."
Public Management,Which of the following are principles of Good Governance?,Transparency,Accountability,Corruption,Rule of Law,"A, B, D",Corruption is the enemy of good governance. The others are core pillars.
Public Management,Which of these are types of official leave in Nepal Civil Service?,Home Leave (Ghar Bida),Sick Leave (Birami Bida),Picnic Leave,Study Leave (Adhyayan Bida),"A, B, D",Picnic leave does not exist. The others are statutory leaves.
Public Management,Which of the following are methods of filing?,Alphabetical,Numerical,Chronological,Emotional,"A, B, C","Emotional is not a filing method. Documents are filed by name, number, or date."
Public Management,Key functions of an Office include:,Receiving Information,Recording Information,Destroying all records immediately,Supplying Information,"A, B, D","An office must preserve records, not destroy them immediately (unless expired)."
Public Management,Which of these documents are related to financial administration?,Budget,Ledger,Citizen Charter,Audit Report,"A, B, D","Citizen Charter is for public information/service delivery, not strictly a financial accounting document like the others."
General Aptitude,Which of the following numbers are Prime Numbers?,2,9,17,21,"A, C",9 is divisible by 3. 21 is divisible by 3 and 7. 2 and 17 are prime.
General Aptitude,Which of these shapes are quadrilaterals (4 sides)?,Triangle,Rectangle,Square,Trapezium,"B, C, D",A triangle has 3 sides. The others have 4 sides.
General Aptitude,"Select the synonyms for the word ""Create"".",Build,Destroy,Construct,Produce,"A, C, D","Destroy is an antonym. Build, Construct, and Produce are synonyms."
General Aptitude,"If x2=16, what are the possible values of x?",4,-4,8,16,"A, B",Both 4×4=16 and −4×−4=16.
General Aptitude,Which of the following are months with 30 days?,January,April,June,September,"B, C, D","January has 31 days. April, June, September (and November) have 30 days."
Surveying,Which of the following are methods of Plane Table Surveying?,Radiation,Intersection,Resection,Fly Leveling,"A, B, C","Fly Leveling is a method of Leveling, not Plane Tabling."
Surveying,Which errors are eliminated by Reciprocal Leveling?,Curvature Error,Refraction Error,Collimation Error,Chaining Error,"A, B, C","Reciprocal leveling eliminates curvature, refraction, and collimation errors. Chaining error is related to distance measurement."
Surveying,Which of the following are parts of a Theodolite?,Telescope,Vertical Circle,Bubble Tube,Cross Staff,"A, B, C","A Cross Staff is a separate manual instrument for setting out right angles, not a part of the Theodolite."
Surveying,Contours of different elevations can unite/meet to form one line in the case of:,Vertical Cliff,Overhanging Cliff,Valley,Ridge,A,"Clarification: They ""unite"" for a Vertical Cliff. They ""cross"" for an Overhanging Cliff. So A is the correct context for ""uniting""."
Surveying,Which of these are angular measuring instruments?,Prismatic Compass,Surveyor's Compass,Theodolite,Dumpy Level,"A, B, C","A Dumpy Level measures relative elevation (vertical distance), not angles."
Construction Materials,Which of the following are ingredients of Portland Cement?,Lime (CaO),Silica (SiO2),Alumina (Al2O3),Salt (NaCl),"A, B, C",Salt is harmful to concrete (causes corrosion) and is not an ingredient.
Construction Materials,Which of these are examples of Metamorphic Rocks?,Marble,Slate,Gneiss,Granite,"A, B, C",Granite is an Igneous rock. The others are Metamorphic.
Construction Materials,Defects in timber include:,Knots,Shakes,Twisted Fibers,Seasoning,"A, B, C","Seasoning is a process to treat timber, not a defect."
Construction Materials,Which of the following are types of Bitumen?,Cutback Bitumen,Emulsion,Tar,Blown Bitumen,"A, B, D","Tar is a coal product, distinct from Bitumen (a petroleum product)."
Construction Materials,Properties of good bricks include:,Uniform color,Sharp edges,High porosity,Ringing sound when struck,"A, B, D",High porosity is bad (absorbs too much water). Good bricks should be dense with low absorption.
Building Construction,Which of these are types of Foundations?,Strip Footing,Raft Foundation,Pile Foundation,Lintel,"A, B, C","Lintel is a beam over an opening, not a foundation."
Building Construction,Which of the following are parts of a Staircase?,Tread,Riser,Nosing,Sill,"A, B, C",Sill is the bottom part of a window frame.
Building Construction,Types of Bonds in brick masonry include:,English Bond,Flemish Bond,Chemical Bond,Stretcher Bond,"A, B, D",Chemical bond is a chemistry term.
Building Construction,Which of these are used for Damp Proofing?,Bitumen,Cement Concrete,Plastic Sheets,Wood,"A, B, C",Wood absorbs water and rots; it is not a damp-proofing material.
Building Construction,Which of these are components of an Arch?,Keystone,Crown,Intrados,Pedestal,"A, B, C","Pedestal is usually for columns or statues, not a standard part of the arch anatomy itself (though an arch can sit on one)."
