Category,Question (Arrange in Order),Option A,Option B,Option C,Option D,Correct Answer,Explanation
Structural Design,Sequence of Load Transfer in a building: 1. Foundation 2. Beam 3. Slab 4. Column,3 - 2 - 4 - 1,3 - 4 - 2 - 1,1 - 4 - 2 - 3,2 - 3 - 4 - 1,Option A,Load goes from Slab -> Beam -> Column -> Foundation -> Soil.
Structural Design,Steps in R.C.C. Beam Design: 1. Check for Shear 2. Calculate Loads 3. Determine Bending Moment 4. Calculate Area of Steel,2 - 3 - 4 - 1,1 - 2 - 3 - 4,2 - 4 - 3 - 1,4 - 3 - 2 - 1,Option A,Loads -> Bending Moment -> Steel Area -> Check Shear/Deflection.
Structural Design,"Arrange seismic zones of Nepal (Low Risk to High Risk generally, though all are high): Note: Based on old zoning or intensity 1. Zone V 2. Zone III 3. Zone IV",2 - 3 - 1,1 - 3 - 2,3 - 2 - 1,1 - 2 - 3,Option A,Zone III (Moderate) -> Zone IV (High) -> Zone V (Very High). (Nepal is mostly IV and V).
Soil Mechanics,Arrange soil particles by size (Largest to Smallest): 1. Silt 2. Sand 3. Clay 4. Gravel,4 - 2 - 1 - 3,4 - 2 - 3 - 1,1 - 2 - 3 - 4,2 - 4 - 1 - 3,Option A,Gravel (>4.75mm) -> Sand -> Silt -> Clay (<0.002mm).
Soil Mechanics,Stages of Soil Consolidation: 1. Primary Consolidation 2. Initial Compression 3. Secondary Consolidation,2 - 1 - 3,1 - 2 - 3,3 - 2 - 1,1 - 3 - 2,Option A,Initial (Air expulsion) -> Primary (Water expulsion) -> Secondary (Plastic readjustment).
Irrigation Eng.,Hierarchy of Canal System (Source to Field): 1. Distributary 2. Main Canal 3. Field Channel 4. Branch Canal,2 - 4 - 1 - 3,2 - 1 - 4 - 3,4 - 2 - 1 - 3,3 - 1 - 4 - 2,Option A,Main Canal -> Branch -> Distributary -> Field Channel (Watercourse).
Irrigation Eng.,Arrange Irrigation Efficiencies (Highest to Lowest generally): 1. Drip Irrigation 2. Sprinkler Irrigation 3. Flood Irrigation,1 - 2 - 3,3 - 2 - 1,2 - 1 - 3,1 - 3 - 2,Option A,Drip (~90%) > Sprinkler (~70%) > Flood (~50%).
Irrigation Eng.,Components of a Diversion Headwork (River to Canal): 1. Head Regulator 2. Divide Wall 3. Weir/Barrage 4. Fish Ladder,3 - 2 - 4 - 1,1 - 2 - 3 - 4,3 - 4 - 2 - 1,2 - 3 - 4 - 1,Option A,"The Weir is the main barrier across the river, Divide wall separates flow, Fish ladder is alongside, Head Regulator is at the side to enter canal. (Order of construction/layout logic)."
Estimating & Costing,Sequence of Estimate Preparation: 1. Technical Sanction 2. Administrative Approval 3. Detailed Estimate 4. Preliminary Estimate,4 - 2 - 3 - 1,1 - 2 - 3 - 4,4 - 3 - 2 - 1,2 - 4 - 3 - 1,Option A,Preliminary Est. -> Admin Approval -> Detailed Est. -> Technical Sanction.
Estimating & Costing,Order of dimensions in measurement book: 1. Breadth (B) 2. Length (L) 3. Height/Depth (H),2 - 1 - 3,1 - 2 - 3,3 - 2 - 1,1 - 3 - 2,Option A,Standard convention is L x B x H.
Const. Management,Stages of a Construction Project: 1. Planning 2. Tendering 3. Feasibility Study 4. Execution,3 - 1 - 2 - 4,1 - 2 - 3 - 4,4 - 2 - 1 - 3,2 - 1 - 3 - 4,Option A,Feasibility (Is it possible?) -> Planning (Design) -> Tendering (Hiring) -> Execution (Building).
Const. Management,Steps in Critical Path Method (CPM): 1. Identify Critical Path 2. List all Activities 3. Draw Network Diagram 4. Estimate Durations,2 - 4 - 3 - 1,1 - 2 - 3 - 4,3 - 2 - 4 - 1,4 - 1 - 2 - 3,Option A,List Activities -> Estimate Time -> Draw Diagram -> Find Critical Path.
